fullname,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Sophisticated Retreat: 2BR in heart of Albany,188679144,Elizabeth,THIRTEENTH WARD,42.66619,-73.79031,entire home/apt,126.0,54,2024-08-14,0.75,8,365,2
Center Square Safe 2 Bedroom Long  Stay w/ Parking,299638115,Flerida,SIXTH WARD,42.65507,-73.76138,entire home/apt,104.0,44,2025-05-22,0.66,4,356,5
Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,FOURTH WARD,42.67773,-73.73899,entire home/apt,121.0,173,2025-02-16,2.63,1,7,7
Modern Carriage in the Heart of Albany,59864591,Daniel,SIXTH WARD,42.65115,-73.7668,entire home/apt,97.0,4,2023-01-06,0.08,1,0,0
Private Bedroom in Cozy Ranch Home,41400541,John,FOURTEENTH WARD,42.66403,-73.81446,private room,52.0,187,2025-02-15,2.9,1,97,28
Central Albany Apartment: Walk to State Capitol!,121680792,Evolve,SECOND WARD,42.6469,-73.75761,entire home/apt,174.0,27,2022-10-27,0.45,5,9,0
Homey,339085327,Arkady,NINTH WARD,42.65567,-73.7854,entire home/apt,183.0,0,2025-05-18,1.255,1,365,0
Charming dog friendly home with private yard!,649068,Anthony,FIRST WARD,42.63876,-73.78535,entire home/apt,102.0,115,2025-06-03,1.84,1,223,19
Classic & Homey 2BD/1BA Fl 2 Apt @ Downtown Albany,272907816,Angela,SECOND WARD,42.64453,-73.75426,entire home/apt,87.0,112,2025-05-18,1.95,2,77,24
*The Blue House* Incredible 3 Bedroom Apartment,349460842,Scott,TENTH WARD,42.66257,-73.78281,entire home/apt,93.0,131,2024-10-28,2.18,17,0,15
Historic Queen Studio Across from Washington Park!,355777684,Lloyd,SIXTH WARD,42.65935,-73.76805,entire home/apt,102.0,370,2025-05-26,6.2,3,318,31
Spacious upscale luxury apartment with huge yard,353498132,Michael,EIGHTH WARD,42.64808,-73.7996,entire home/apt,146.0,26,2024-11-26,0.45,6,266,3
Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,Elsa,FOURTEENTH WARD,42.66132,-73.7956,entire home/apt,132.0,129,2025-01-12,2.21,1,221,4
Adorable & Trendy 1 Bd Apt Minutes to Albany Med!,165293595,Kori,NINTH WARD,42.6545,-73.78223,entire home/apt,89.0,154,2025-05-22,2.72,1,247,29
UNIQUE Gem in HEART of Albany â Spiral Staircase,47625981,Linda,SECOND WARD,42.64801,-73.75668,entire home/apt,108.0,99,2025-02-16,1.86,18,176,6
Our Antique Bungalow,69789449,Dan,NINTH WARD,42.65311,-73.78525,entire home/apt,152.0,257,2025-06-01,4.87,1,286,41
The Historic J. Buel Farmhouse - Luxury Suite Loft,382970529,Thomas,THIRTEENTH WARD,42.6692,-73.79849,private room,90.0,172,2025-06-04,3.22,15,31,47
"Renovated 2br/2ba, close to Alb Med & St. Petes.",21886921,David,THIRTEENTH WARD,42.66744,-73.79216,entire home/apt,125.0,9,2025-05-22,0.18,2,300,2
Downtown Albany 1 Bed + Workstation @ Maiden Lane,385664127,Dillon,THIRD WARD,42.65118,-73.75274,entire home/apt,95.0,168,2025-05-04,3.2,2,243,29
Capital View I,392074908,Jerry,SIXTH WARD,42.65429,-73.75986,entire home/apt,93.0,102,2025-05-17,2.19,3,166,3
Quiet 2-bedroom condo in the heart of Albany,172658781,Jessica,THIRTEENTH WARD,42.66972,-73.79544,entire home/apt,182.0,4,2022-11-30,0.09,2,308,0
Beautiful Center Square Garden-Level Unit,48490017,Todd,SIXTH WARD,42.65157,-73.76546,entire home/apt,93.0,190,2025-06-06,4.09,1,100,34
Cozy Studio By Washington Park | Walkable!,105597161,Katelyn,ELEVENTH WARD,42.66034,-73.77163,entire home/apt,105.0,185,2025-06-06,4.42,1,11,25
"Sunny Queen bed, Quiet w/Beautiful Garden",172539578,David Yisrael,FIFTEENTH WARD,42.67945,-73.81647,private room,93.0,46,2025-05-17,1.02,4,30,9
"Chic-romantic, center-city, hotel-style apartment.",414738935,Sonya,THIRD WARD,42.66064,-73.76074,entire home/apt,65.0,255,2025-04-16,5.4,1,217,35
ðChic & Cozy Near Washington Park Garden Suite,416799784,Rosie,TENTH WARD,42.65969,-73.77564,entire home/apt,89.0,28,2025-04-21,0.63,1,113,7
Walk to Everything Downtown Albany! Luxury Apt!,394420519,All Seasons,THIRD WARD,42.65061,-73.75006,entire home/apt,138.0,9,2024-09-09,0.2,1,262,1
Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,David,THIRD WARD,42.65844,-73.74978,entire home/apt,89.0,90,2025-05-26,2.02,3,337,13
Garden Apartment in Historic Center Square Home,35465673,Jason,SIXTH WARD,42.65641,-73.76413,entire home/apt,75.0,320,2025-05-22,7.21,1,61,83
Cozy 3BR House in Whitehall near DT Albany,428451585,Erwin,EIGHTH WARD,42.64792,-73.79953,entire home/apt,257.0,0,2025-05-18,1.255,1,364,0
Spacious Urban APT w/4BR & Office in Albany,433096110,Brian,FOURTEENTH WARD,42.65824,-73.80114,entire home/apt,205.0,158,2025-04-16,3.78,3,249,35
B Unieke,438504176,Roland,SECOND WARD,42.64683,-73.75662,entire home/apt,300.0,0,2025-05-18,1.255,1,365,0
